title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Cursed,"https://m.media-amazon.com/images/M/MV5BYjA2M2YxMjQtOTIwOS00ODIyLThmYWEtM2Y1NGFkNjI1YmNkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Adventure, Drama, Fantasy",18,5.7,63.0,A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword.,"12,332",
Dark,"https://m.media-amazon.com/images/M/MV5BZmY2YzU4NDktODIxYi00YWIyLWIzYTctODBkYzYzZjc0ODdlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Crime, Drama, Mystery",16+,8.8,63.0,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","232,042",
Greyhound,"https://m.media-amazon.com/images/M/MV5BZTFkZjYxNWItZmE2MC00MGE4LWIxYTgtZmIzOWM1YmI2YWEzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",91 min,"Action, Drama, History",A,7.1,63.0,"Early in World War II, an inexperienced U.S. Navy captain must lead an Allied convoy being stalked by Nazi U-boat wolfpacks.","33,046",
Hamilton,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",160 min,"Biography, Drama, History",12+,8.8,90.0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","29,347",
Perry Mason,"https://m.media-amazon.com/images/M/MV5BMDllMWRjNWMtM2U3Ny00YjAwLTlhNTgtOThjZTc2YmI2ZmRmXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Crime, Drama",12+,7.3,82.0,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.","4,313",
Dil Bechara,"https://m.media-amazon.com/images/M/MV5BNmI0MTliMTAtMmJhNC00NTJmLTllMzQtMDI3NzA1ODMyZWI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR5,0,67,98_AL_.jpg",101 min,"Comedy, Drama, Romance",12+,9.3,82.0,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, who she meets at a support group.","87,587",
Yellowstone,"https://m.media-amazon.com/images/M/MV5BYTg2OTYxMDctNDdjOS00ZDA0LWE4MmQtNmY3ZGJiOTllZGI5XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Drama, Western",A,8.5,82.0,A ranching family in Montana faces off against others encroaching on their land.,"18,436",
365 dni,"https://m.media-amazon.com/images/M/MV5BODljZTM3ODAtMDc0YS00NmI4LTlmZTUtM2I5MDAzNTQxZmMxXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_UY98_CR1,0,67,98_AL_.jpg",114 min,"Drama, Romance",A,3.3,82.0,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","29,182",
Game of Thrones,"https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY98_CR2,0,67,98_AL_.jpg",57 min,"Action, Adventure, Drama",A,9.3,82.0,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","1,693,591",
Warrior Nun,"https://m.media-amazon.com/images/M/MV5BMDg4NTQ2ZDgtMzI5Zi00Mzc1LTk0ZWQtZTI5ODhkNWY5NzdlXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",43 min,"Action, Drama, Fantasy",18,6.9,82.0,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.","13,284",
Kingdom,"https://m.media-amazon.com/images/M/MV5BMDU4NWZhZjItMGFiMy00ODM4LWFkMmItYTdlNzRiYTRmMTE3XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY98_CR3,0,67,98_AL_.jpg",43 min,Drama,18,8.4,82.0,A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.,"10,570",
Brave New World,"https://m.media-amazon.com/images/M/MV5BMjk4MTQ4NDItOGMyNC00MmIwLTg1NzAtNTNlNDgxZTBiMzZjXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX67_CR0,0,67,98_AL_.jpg",43 min,"Drama, Sci-Fi",A,7.0,82.0,TV adaptation of Aldous Huxley's book set in dystopian future.,"2,636",
The 100,"https://m.media-amazon.com/images/M/MV5BNjRiYTIzZmUtMTFkNS00ZTM0LWE4ODAtMDliMGE4NzM5ZjVlXkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_UY98_CR6,0,67,98_AL_.jpg",43 min,"Drama, Mystery, Sci-Fi",A,7.7,82.0,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","199,146",
Lucifer,"https://m.media-amazon.com/images/M/MV5BNzY1YjIxOGMtOTAyZC00YTcyLWFhMzQtZTJkYTljYzU0MGRlXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_UX67_CR0,0,67,98_AL_.jpg",42 min,"Crime, Drama, Fantasy",15,8.2,82.0,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"200,416",
Grey's Anatomy,"https://m.media-amazon.com/images/M/MV5BMjgwNGNkZGYtMWQyYS00YjEzLWFmZTctODUzYWMxOWJkNTAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",41 min,"Drama, Romance",15+,7.6,82.0,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"236,657",
Vikings,"https://m.media-amazon.com/images/M/MV5BNjIzZjljZmQtOGNiYi00YmY2LWE1MGYtN2VlMmEyZDBlMzRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",44 min,"Action, Adventure, Drama",A,8.5,82.0,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","397,864",
Breaking Bad,"https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",49 min,"Crime, Drama, Thriller",18,9.5,82.0,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"1,377,137",
Glee,"https://m.media-amazon.com/images/M/MV5BYWJhZjNjZjUtM2JlZC00ZWE3LWJmZDItMDRhMWJkMTJhZDhkXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UY98_CR1,0,67,98_AL_.jpg",44 min,"Comedy, Drama, Music",18,6.7,82.0,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,"132,971",
Criminal Minds,"https://m.media-amazon.com/images/M/MV5BNGE2ZmFkZTYtNjRiOS00ZjE3LThjOWMtZTViZjRmNDFjNTQwXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg",42 min,"Crime, Drama, Mystery",16+,8.1,82.0,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","151,879",
Supernatural,"https://m.media-amazon.com/images/M/MV5BMTJhM2VhZDItMTk4OS00MTRjLTlmMDQtNzEyYmM0NDA0YjhjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",44 min,"Drama, Fantasy, Horror",16+,8.4,82.0,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","376,483",
The Umbrella Academy,"https://m.media-amazon.com/images/M/MV5BNzA5MjkwYzMtNGY2MS00YWRjLThkNTktOTNmMzdlZjE3Y2IxXkEyXkFqcGdeQXVyMjkwMzMxODg@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Action, Adventure, Comedy",16+,7.9,82.0,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","105,413",
Snowpiercer,"https://m.media-amazon.com/images/M/MV5BODAwYWEwMzctYzI3MS00ZTU5LThhYWMtMjQ2ZmY5NmU2NGE5XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY98_CR1,0,67,98_AL_.jpg",60 min,"Action, Drama, Sci-Fi",18,6.7,82.0,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","15,280",
The Alienist,"https://m.media-amazon.com/images/M/MV5BMTAyMDg5NjYzNTZeQTJeQWpwZ15BbWU4MDA2MTczMjQz._V1_UY98_CR1,0,67,98_AL_.jpg",60 min,"Drama, Mystery",UA,7.7,82.0,Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.,"35,382",
