title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Hamilton,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",160 min,"Biography, Drama, History",12+,8.8,90.0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","29,347",
Glee,"https://m.media-amazon.com/images/M/MV5BYWJhZjNjZjUtM2JlZC00ZWE3LWJmZDItMDRhMWJkMTJhZDhkXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UY98_CR1,0,67,98_AL_.jpg",44 min,"Comedy, Drama, Music",18,6.7,51.0,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,"132,971",
Trolls World Tour,"https://m.media-amazon.com/images/M/MV5BMTI5NmViY2YtNDk5NC00NjY2LWFlNGYtOGEwNzY1MTZmMjFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",90 min,"Animation, Adventure, Comedy",PG,6.1,51.0,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.","10,610",
Frozen 2,"https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",103 min,"Animation, Adventure, Comedy",U,6.9,64.0,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","119,402",$477.37M
Moana,"https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",107 min,"Animation, Adventure, Comedy",U,7.6,81.0,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","258,512",$248.76M
The Greatest Showman,"https://m.media-amazon.com/images/M/MV5BMjI1NDYzNzY2Ml5BMl5BanBnXkFtZTgwODQwODczNTM@._V1_UY98_CR0,0,67,98_AL_.jpg",105 min,"Biography, Drama, Musical",UA,7.6,48.0,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,"223,657",$174.34M
The Lion King,"https://m.media-amazon.com/images/M/MV5BMjIwMjE1Nzc4NV5BMl5BanBnXkFtZTgwNDg4OTA1NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",118 min,"Animation, Adventure, Drama",U,6.9,55.0,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","197,034",$543.64M
Rocketman,"https://m.media-amazon.com/images/M/MV5BYmIzNjUxZGQtYjg0OS00MmE0LTgwZDAtMzVmODQ2MGI5MTQ5XkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX67_CR0,0,67,98_AL_.jpg",121 min,"Biography, Drama, Music",A,7.3,69.0,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,"122,162",$96.37M
Grease,"https://m.media-amazon.com/images/M/MV5BZmUyMDEyOTgtZmUwOS00NTdkLThlNzctNTM1ODQ4M2VhMjdhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",110 min,"Musical, Romance",U,7.2,70.0,"Good girl Sandy Olsson (Olivia Newton-John) and greaser Danny Zuko (John Travolta) fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","231,242",$188.76M
Mary Poppins,"https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",139 min,"Comedy, Family, Fantasy",G,7.8,88.0,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","153,688",$102.27M
Aladdin,"https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",128 min,"Adventure, Family, Fantasy",U,7.0,53.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"212,402",$355.56M
Central Park,"https://m.media-amazon.com/images/M/MV5BZjUxNzRhYjQtZTk5ZC00NzYwLTk3MjgtYjcxNDlmYjY0YThmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",86 min,"Animation, Comedy, Musical",UA,6.5,46.0,"An animated musical series that tells the story of a how a family of caretakers, who live and work in Central Park, end up saving the park, and basically the world.","1,210",
The Lorax,"https://m.media-amazon.com/images/M/MV5BMTU1MTAwMjk1NF5BMl5BanBnXkFtZTcwMDI5NDc4Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",86 min,"Animation, Adventure, Comedy",U,6.4,46.0,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","95,952",$214.03M
Charlie and the Chocolate Factory,"https://m.media-amazon.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",115 min,"Adventure, Comedy, Family",U,6.6,72.0,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","414,893",$206.46M
The Blues Brothers,"https://m.media-amazon.com/images/M/MV5BYTdlMDExOGUtN2I3MS00MjY5LWE1NTAtYzc3MzIxN2M3OWY1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",133 min,"Adventure, Comedy, Crime",U,7.9,60.0,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.","177,969",$57.23M
Yesterday,"https://m.media-amazon.com/images/M/MV5BMjQ0NTI0NjkyN15BMl5BanBnXkFtZTgwNzY0MTE0NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",116 min,"Comedy, Fantasy, Music",UA,6.8,55.0,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,"102,694",$73.29M
Beauty and the Beast,"https://m.media-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_UX67_CR0,0,67,98_AL_.jpg",129 min,"Family, Fantasy, Musical",UA,7.1,65.0,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","262,374",$504.01M
Frozen,"https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_UX67_CR0,0,67,98_AL_.jpg",102 min,"Animation, Adventure, Comedy",U,7.4,75.0,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","558,683",$400.74M
Mary Poppins Returns,"https://m.media-amazon.com/images/M/MV5BMjQxNjE3NjYxN15BMl5BanBnXkFtZTgwMTk2NDQ3NjM@._V1_UY98_CR1,0,67,98_AL_.jpg",130 min,"Comedy, Family, Fantasy",U,6.7,66.0,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.","72,730",$171.96M
The Princess and the Frog,"https://m.media-amazon.com/images/M/MV5BMjEyOTQ5NzAzNl5BMl5BanBnXkFtZTcwMTcyNTU1Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",97 min,"Animation, Adventure, Comedy",A,7.1,73.0,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.","119,814",$104.40M
La La Land,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",128 min,"Comedy, Drama, Music",A,8.0,94.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","484,978",$151.10M
The Lion King,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX67_CR0,0,67,98_AL_.jpg",88 min,"Animation, Adventure, Drama",U,8.5,88.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","912,850",$422.78M
Tangled,"https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_UX67_CR0,0,67,98_AL_.jpg",100 min,"Animation, Adventure, Comedy",U,7.7,71.0,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","394,435",$200.82M
