title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Palm Springs,"https://m.media-amazon.com/images/M/MV5BYjk0MTgzMmQtZmY2My00NmE5LWExNGUtYjZkNTA3ZDkyMTJiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",90 min,"Comedy, Fantasy, Mystery",R,7.5,84.0,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated as they are unable to escape the venue, themselves, or each other.","28,593",
Dil Bechara,"https://m.media-amazon.com/images/M/MV5BNmI0MTliMTAtMmJhNC00NTJmLTllMzQtMDI3NzA1ODMyZWI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR5,0,67,98_AL_.jpg",101 min,"Comedy, Drama, Romance",12+,9.3,50.0,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, who she meets at a support group.","87,587",
Eurovision Song Contest: The Story of Fire Saga,"https://m.media-amazon.com/images/M/MV5BYzRjYzA5NTQtOTE3MC00OTYzLWEzODItMzQxYWE1NDJkMDA0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",123 min,"Comedy, Music",PG-13,6.6,50.0,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","52,874",
The Kissing Booth 2,"https://m.media-amazon.com/images/M/MV5BOWQ5ZGU2ZGQtOTJjYi00MWI3LWE1ZDQtM2EzOGI2MzJjNTA4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR0,0,67,98_AL_.jpg",134 min,"Comedy, Romance",13,6.1,39.0,"In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.","7,198",
The Boys,"https://m.media-amazon.com/images/M/MV5BN2JjNmFjZmItMDVlMS00NzExLWJkOTMtY2U3ZDRiZGUyMTdhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Action, Comedy, Crime",18+,8.7,82.0,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"155,305",
The Office,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,Comedy,U,8.9,82.0,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","370,950",
Community,"https://m.media-amazon.com/images/M/MV5BNDQ5NDZiYjktZmFmMy00MjAxLTk1MDktOGZjYTY5YTE1ODdmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_UY98_CR0,0,67,98_AL_.jpg",22 min,Comedy,U,8.5,82.0,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"201,725",
Glee,"https://m.media-amazon.com/images/M/MV5BYWJhZjNjZjUtM2JlZC00ZWE3LWJmZDItMDRhMWJkMTJhZDhkXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UY98_CR1,0,67,98_AL_.jpg",44 min,"Comedy, Drama, Music",18,6.7,82.0,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,"132,971",
The Umbrella Academy,"https://m.media-amazon.com/images/M/MV5BNzA5MjkwYzMtNGY2MS00YWRjLThkNTktOTNmMzdlZjE3Y2IxXkEyXkFqcGdeQXVyMjkwMzMxODg@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Action, Adventure, Comedy",16+,7.9,82.0,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","105,413",
Knives Out,"https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_UX67_CR0,0,67,98_AL_.jpg",130 min,"Comedy, Crime, Drama",UA,7.9,82.0,"A detective investigates the death of a patriarch of an eccentric, combative family.","354,700",$165.36M
Bill & Ted Face the Music,"https://m.media-amazon.com/images/M/MV5BOTRiNzFhNjAtNTdhMS00ZjViLWFhNTUtMWJlMTJkMGM1YzM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",78 min,"Comedy, Music, Sci-Fi",PG-13,4.8,51.0,"Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.","2,274",
MILF,"https://m.media-amazon.com/images/M/MV5BMjcyNDJiMTEtNGQ2Ni00ZTk5LWE2YjQtZTIyOGQxMjFjMTM4XkEyXkFqcGdeQXVyODY0MjI4NjM@._V1_UY98_CR2,0,67,98_AL_.jpg",101 min,Comedy,13+,4.8,51.0,Three best friends in their forties start a relationship with younger men while on vacation.,"2,274",
Friends,"https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Romance",13+,8.9,51.0,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"776,555",
Suits,"https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",44 min,"Comedy, Drama",13+,8.5,51.0,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","350,591",
Norsemen,"https://m.media-amazon.com/images/M/MV5BN2U1ZTViMTItMDUwZC00NTBkLTlmMGItZjE2NjdmZjMxYWZkXkEyXkFqcGdeQXVyMTI5NjYwNDQ@._V1_UY98_CR1,0,67,98_AL_.jpg",30 min,Comedy,18,7.8,51.0,Viking life at the close of the 8th century.,"11,728",
Schitt's Creek,"https://m.media-amazon.com/images/M/MV5BNWQ1ZmM3MTQtNTVhZC00MWVlLWI5ZjgtYmZiYWQxZjUzZWM0XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,Comedy,18+,8.4,51.0,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","38,177",
Doom Patrol,"https://m.media-amazon.com/images/M/MV5BM2I1OWZiNTUtZGNmOS00NGNiLTlhZmItOTU3MGRlMWFkYWU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Action, Adventure, Comedy",A,8.0,51.0,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"28,006",
The Gentlemen,"https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX67_CR0,0,67,98_AL_.jpg",113 min,"Action, Comedy, Crime",A,7.9,51.0,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","167,095",
Modern Family,"https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtMDZiMWM1M2RkNDkyXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Drama, Romance",12+,8.4,83.0,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"335,267",
In the Dark,"https://m.media-amazon.com/images/M/MV5BYzcxMzJlYzktYjI2ZS00NGNkLWI4YzQtMGZkNjYwMTYxMGM1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR5,0,67,98_AL_.jpg",42 min,"Comedy, Drama",U,7.4,83.0,"A young, blind woman tries to solve her friend's murder.","4,676",
The Big Bang Theory,"https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Romance",U,8.1,83.0,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"695,406",
Once Upon a Time... in Hollywood,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg",161 min,"Comedy, Drama",A,7.7,83.0,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"495,774",$142.50M
The F**k-It List,"https://m.media-amazon.com/images/M/MV5BYjFiNzE4ZDQtMjFiNy00NjhjLTg0ZjMtNWYxYjZlMThiM2NiXkEyXkFqcGdeQXVyMDYwMjQ2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",103 min,Comedy,13+,5.1,96.0,"After a prank blows up on a high school senior's life, he shares a list of certain things he wishes he'd done differently.","2,546",
Brooklyn Nine-Nine,"https://m.media-amazon.com/images/M/MV5BNzVkYWY4NzYtMWFlZi00YzkwLThhZDItZjcxYTU4ZTMzMDZmXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Crime",13+,8.4,96.0,"""Brooklyn Nine-Nine"" follows the exploits of hilarious Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","201,215",
New Girl,"https://m.media-amazon.com/images/M/MV5BMjA0MDc1NTk0Ml5BMl5BanBnXkFtZTgwMTk2ODA5NDM@._V1_UY98_CR5,0,67,98_AL_.jpg",22 min,Comedy,15+,7.7,96.0,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","179,982",
Parks and Recreation,"https://m.media-amazon.com/images/M/MV5BMjA5MjUxNDgwNF5BMl5BanBnXkFtZTgwMDI5NjMwNDE@._V1_UY98_CR3,0,67,98_AL_.jpg",22 min,Comedy,13,8.6,96.0,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,"200,880",
Gisaengchung,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",132 min,"Comedy, Drama, Thriller",A,8.6,96.0,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"453,703",$53.37M
The Kissing Booth,"https://m.media-amazon.com/images/M/MV5BNjQ0Mzk0OTE5MF5BMl5BanBnXkFtZTgwNDkyOTI0NTM@._V1_UX67_CR0,0,67,98_AL_.jpg",105 min,"Comedy, Romance",16,6.0,88.0,A high school student is forced to confront her secret crush at a kissing booth.,"57,091",
"Three Billboards Outside Ebbing, Missouri","https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",115 min,"Comedy, Crime, Drama",A,8.2,88.0,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"407,373",$54.51M
Shameless,"https://m.media-amazon.com/images/M/MV5BYzFmODNkNDMtOTgzMy00NzQ1LWEwNDItNzU1MmYyYThhYzUwXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_UY98_CR3,0,67,98_AL_.jpg",46 min,"Comedy, Drama",18+,8.6,68.0,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","191,597",
Clueless,"https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",97 min,"Comedy, Romance",PG-13,6.8,68.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","175,798",$56.63M
How I Met Your Mother,"https://m.media-amazon.com/images/M/MV5BNjg1MDQ5MjQ2N15BMl5BanBnXkFtZTYwNjI5NjA3._V1_UY98_CR3,0,67,98_AL_.jpg",22 min,"Comedy, Romance",15+,8.3,69.0,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"580,391",
How to Sell Drugs Online (Fast),"https://m.media-amazon.com/images/M/MV5BZjIzNTkyNjktNDdmMy00MmI4LWFlN2MtNDllYTVhZjljNWFiXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_UY98_CR5,0,67,98_AL_.jpg",30 min,"Comedy, Crime, Drama",18,7.9,69.0,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","14,479",
Scott Pilgrim vs. the World,"https://m.media-amazon.com/images/M/MV5BMTkwNTczNTMyOF5BMl5BanBnXkFtZTcwNzUxOTUyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",112 min,"Action, Comedy, Fantasy",PG-13,7.5,69.0,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,"365,724",$31.49M
Psych,"https://m.media-amazon.com/images/M/MV5BYzRkOWRmNGUtYzM0Zi00ZGRkLThhMjktNmI4NDYwZDVmODBkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",44 min,"Comedy, Crime, Mystery",16,8.3,41.0,"A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.","82,368",
Desperados,"https://m.media-amazon.com/images/M/MV5BNTdlNmE0MWQtMWVjMC00MzRiLWJhN2MtN2NjNDFlNDg3MTY1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY98_CR1,0,67,98_AL_.jpg",105 min,"Comedy, Romance",16,5.2,41.0,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend.","5,620",
Bones,"https://m.media-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",40 min,"Comedy, Crime, Drama",16+,7.8,87.0,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","135,269",
Rick and Morty,"https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",23 min,"Animation, Adventure, Comedy",16+,9.2,87.0,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"349,237",
Gilmore Girls,"https://m.media-amazon.com/images/M/MV5BMTQ3NDA1ZWYtYjBmMC00NmJjLWI1NjgtYjg2NDhmMTY2YWQ4XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",44 min,"Comedy, Drama",18,8.1,87.0,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","94,159",
Back to the Future,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",116 min,"Adventure, Comedy, Sci-Fi",U,8.5,87.0,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","1,020,774",$210.61M
Trolls World Tour,"https://m.media-amazon.com/images/M/MV5BMTI5NmViY2YtNDk5NC00NjY2LWFlNGYtOGEwNzY1MTZmMjFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",90 min,"Animation, Adventure, Comedy",PG,6.1,51.0,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.","10,610",
Scoob!,"https://m.media-amazon.com/images/M/MV5BZTJmODM0MDQtMTRjYy00YWZjLThjODItMzQ5N2I2NDBjYzA1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY98_CR3,0,67,98_AL_.jpg",93 min,"Animation, Adventure, Comedy",PG,5.7,43.0,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.","12,424",
It's Always Sunny in Philadelphia,"https://m.media-amazon.com/images/M/MV5BOTExNGZkMWMtMmIwZC00YjA3LTgwM2ItZjQ2YmZkMzQ1YWZkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,Comedy,15+,8.8,58.0,Five friends with big egos and arrogant attitudes are the proprietors of an Irish pub in Philadelphia.,"183,739",
Dead to Me,"https://m.media-amazon.com/images/M/MV5BNTcyOTA3ZWUtOWEwMy00YjI5LWIyNjctNTAyYjI5ZmE0NGI4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",30 min,"Comedy, Drama",18,8.0,58.0,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,"47,439",
