title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Avatar: The Last Airbender,"https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_UX67_CR0,0,67,98_AL_.jpg",23 min,"Animation, Action, Adventure",12+,9.2,51.0,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","227,100",
Doctor Who,"https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",45 min,"Adventure, Drama, Family",12+,8.6,51.0,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"194,809",
His Dark Materials,"https://m.media-amazon.com/images/M/MV5BOTc5NDFlNmQtZGRkNS00NWQxLWEyYjAtY2Q2YjIzNmRiODM2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Adventure, Drama, Family",12+,7.9,51.0,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,"36,392",
Trolls World Tour,"https://m.media-amazon.com/images/M/MV5BMTI5NmViY2YtNDk5NC00NjY2LWFlNGYtOGEwNzY1MTZmMjFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",90 min,"Animation, Adventure, Comedy",PG,6.1,51.0,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.","10,610",
Scoob!,"https://m.media-amazon.com/images/M/MV5BZTJmODM0MDQtMTRjYy00YWZjLThjODItMzQ5N2I2NDBjYzA1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY98_CR3,0,67,98_AL_.jpg",93 min,"Animation, Adventure, Comedy",PG,5.7,43.0,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.","12,424",
Harry Potter and the Sorcerer's Stone,"https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg",152 min,"Adventure, Family, Fantasy",U,7.6,64.0,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","621,405",$317.58M
The Baby-Sitters Club,"https://m.media-amazon.com/images/M/MV5BMTlkMDg0MjQtYzg5ZC00MmFhLThhZTMtZDI3NzQxOTQzZDQ2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",23 min,"Comedy, Drama, Family",7,7.4,64.0,Based on the book series of the same name focusing on a group of young girls who start their own babysitting service.,"1,457",
The Legend of Korra,"https://m.media-amazon.com/images/M/MV5BNTRmM2E5OWYtYmYzMi00MDRiLTg2ZTYtZGQyZTNhZDMxYTgzXkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_UX67_CR0,0,67,98_AL_.jpg",23 min,"Animation, Action, Adventure",PG-13,8.4,64.0,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,"94,572",
Mulan,"https://m.media-amazon.com/images/M/MV5BMjFlZjZkMTYtODM2Zi00OTM4LWIwYTktOTFjMmQzZDEzZDc4XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",115 min,"Action, Adventure, Drama",PG-13,6.9,64.0,A young Chinese maiden disguises herself as a male warrior in order to save her father. A live-action feature film based on Disney's 'Mulan.',"119,402",$477.37M
Frozen 2,"https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",103 min,"Animation, Adventure, Comedy",U,6.9,64.0,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","119,402",$477.37M
Moana,"https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",107 min,"Animation, Adventure, Comedy",U,7.6,81.0,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","258,512",$248.76M
